rok	nuts	celkem	anglictina	francouzstina	nemcina	rustina	spanelstina	italstina	latina	rectina	evropsky	jiny
2007	CZ072	31586	27063	2781	14416	1282	1178	42	823	0	0	0
2007	CZ080	64433	56204	5231	28099	3795	3266	25	827	0	50	75
2008	CZ0	508578	430434	43797	246404	21867	22181	1171	13682	114	46	232
2008	CZ010	67187	63677	9521	25958	2095	7665	730	2749	0	0	82
2008	CZ020	44928	37987	4327	21736	2218	910	18	1348	0	0	0
2008	CZ031	32986	25377	1831	20351	368	1097	0	700	0	0	57
2008	CZ032	25088	18796	1702	15645	1042	661	27	435	0	0	0
2008	CZ041	13776	9467	932	9989	1013	56	0	259	0	0	0
2008	CZ042	39121	29936	2385	23666	820	734	0	969	0	0	0
2008	CZ051	19356	15617	1506	11360	240	423	30	251	0	0	0
2008	CZ052	28265	24755	2255	11578	1449	1099	26	887	0	0	24
2008	CZ053	25169	21788	2132	10462	1251	505	30	543	0	0	0
2008	CZ063	25716	20517	2148	14147	734	277	35	885	0	0	0
2008	CZ064	59138	49773	4657	28386	2524	1936	159	2360	114	0	0
2008	CZ071	33112	28321	2421	13576	2213	1664	14	564	0	0	10
2008	CZ072	31135	27458	2885	13639	1492	1267	61	812	0	0	0
2008	CZ080	63601	56965	5095	25911	4408	3887	41	920	0	46	59
2009	CZ0	500803	436720	41878	237938	26688	24365	1091	13063	4	2	193
2009	CZ010	65990	63303	8354	26767	2541	8293	692	2454	4	0	69
2009	CZ020	44254	38230	4340	20894	2710	957	29	1285	0	1	0
2009	CZ031	32511	25925	2345	19393	428	1228	0	760	0	0	54
2009	CZ032	24927	19434	1691	15438	1348	979	42	764	0	0	0
2009	CZ041	13466	9614	803	9791	1047	60	0	346	0	0	0
2009	CZ042	39007	30769	2266	23694	945	746	11	901	0	0	0
2009	CZ051	19032	15970	1582	10665	307	394	29	219	0	0	0
2009	CZ052	28086	25426	2237	11160	1878	1286	12	640	0	0	0
2009	CZ053	24941	22223	2040	9873	1731	574	33	525	0	0	0
2009	CZ063	25451	21022	2045	13900	807	279	19	834	0	0	0
2009	CZ064	57907	50678	4561	26923	2969	2052	122	2291	0	0	0
2009	CZ071	32460	28778	2242	12914	2835	1694	0	486	0	0	0
2009	CZ072	30659	28094	2706	13060	1679	1448	75	743	0	0	0
2009	CZ080	62112	57254	4666	23466	5463	4375	27	815	0	1	70
2010	CZ0	480523	430788	38438	224396	29181	24638	792	10231	5	23	336
2010	CZ010	63354	61686	7742	25921	2687	8199	478	2025	5	0	75
2010	CZ020	42505	37961	4537	19289	3538	1034	26	982	0	23	141
2010	CZ031	30920	25619	2010	18747	569	1215	13	750	0	0	52
2010	CZ032	24098	19442	1470	14799	1492	976	29	622	0	0	0
2010	CZ041	13058	9898	639	9556	772	29	0	135	0	0	0
2010	CZ042	37730	31163	2195	22649	1066	724	11	552	0	0	0
