year	celkem	anglictina	francouzstina	nemcina	rustina	spanelstina	italstina	latina	rectina	evropsky	jiny
2006	522699	413621	42977	276823	16191	17297	1499	12762	117	76	326
2007	514403	421366	43418	261192	18525	19772	1257	13753	99	60	278
2008	508578	430434	43797	246404	21867	22181	1171	13682	114	46	232
2009	500803	436720	41878	237938	26688	24365	1091	13063	4	2	193
2010	480523	430788	38438	224396	29181	24638	792	10231	5	23	336
2011	454977	418369	34532	207169	29836	24709	668	9423	0	2	185
2012	429840	403518	30422	185690	29468	23752	495	8577	0	4	224
2013	410716	392641	27224	169033	29316	22778	437	8498	0	8	191
